"id, integer, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"integer, numeric"
"float, numeric"
"float, personal, gender, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"integer, numeric"
"float, numeric"
"float, temporal, time, numeric"
"float, numeric"
"float, numeric"
"latitude, float, geo, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, temporal, time, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
"float, numeric"
